"Time (s)","wx (rad/s)","wy (rad/s)","wz (rad/s)","wt (rad/s)"
1.455979708E0,-5.202241898E0,-2.418848276E0,-1.401128411E0,5.905701361E0
1.466053708E0,-5.441762924E0,-2.420650244E0,-1.375228405E0,6.112575929E0
1.476127708E0,-5.297578335E0,-1.899664402E0,-1.630847931E0,5.859413454E0
1.486201708E0,-4.781746387E0,-1.910140991E0,-1.709488511E0,5.425503487E0
1.496275708E0,-3.927891731E0,-2.085529566E0,-1.566155434E0,4.714934768E0
1.506349708E0,-2.945902824E0,-1.935010910E0,-1.328436375E0,3.766610396E0
1.516423708E0,-2.257938862E0,-1.733194947E0,-1.039759398E0,3.030404632E0
1.526497708E0,-1.906260014E0,-1.331973314E0,-7.314215899E-1,2.437818224E0
1.536571708E0,-1.451848507E0,-1.129968762E0,-4.496175945E-1,1.893897957E0
1.546645708E0,-9.542699456E-1,-1.000157714E0,-2.924061418E-1,1.412957159E0
1.556719708E0,-5.001174212E-1,-9.335149527E-1,-2.625379860E-1,1.091097519E0
1.566793708E0,-1.238639131E-1,-9.181450605E-1,-2.626136243E-1,9.629634141E-1
1.576867708E0,3.318629861E-1,-9.810853004E-1,-2.514270842E-1,1.065775299E0
1.586941708E0,8.884002566E-1,-9.512858391E-1,-2.537623942E-1,1.326120325E0
1.597015708E0,1.501586199E0,-8.830670714E-1,-2.991413474E-1,1.767499395E0
1.607089708E0,2.182049036E0,-8.195555210E-1,-3.949629366E-1,2.364107647E0
1.617163708E0,2.919112682E0,-6.424745321E-1,-5.093266964E-1,3.032063004E0
1.627237708E0,3.607471704E0,-3.296457827E-1,-5.559037924E-1,3.664907566E0
1.637311708E0,4.258243561E0,-2.809491754E-2,-5.501229167E-1,4.293723649E0
1.647385708E0,4.906594753E0,2.630700767E-1,-4.985079169E-1,4.938865060E0
1.657459708E0,5.337257862E0,3.484653234E-1,-3.337369263E-1,5.359023223E0
1.667533708E0,5.657080173E0,4.857342318E-2,-1.473939568E-1,5.659208465E0
1.677607708E0,5.798068047E0,-2.653783262E-1,-1.838320494E-2,5.804167182E0
1.687681708E0,5.751023769E0,-2.905449271E-1,-9.028243273E-2,5.759066041E0
1.697755708E0,5.555612087E0,-3.293007314E-1,-1.959274560E-1,5.568810663E0
1.707829708E0,5.069416523E0,-4.687944651E-1,-2.247615010E-1,5.096005285E0
1.717903708E0,4.456636906E0,-4.890000522E-1,-3.319451511E-1,4.495655808E0
1.727977708E0,3.776464462E0,-3.548822105E-1,-5.541476011E-1,3.833367290E0
1.738051708E0,3.100533962E0,-2.586775422E-1,-7.228537202E-1,3.194173199E0
1.748125708E0,2.707519770E0,-2.808648646E-1,-8.526204824E-1,2.852456847E0
1.758199708E0,2.527289867E0,-1.983660907E-1,-8.188732862E-1,2.664037657E0
1.768273708E0,2.522154808E0,8.422484994E-2,-6.920706034E-1,2.616738508E0
1.778347708E0,2.601588964E0,4.488564134E-1,-5.531659722E-1,2.697356078E0
1.788421708E0,2.683930397E0,8.109254241E-1,-4.191639423E-1,2.834921662E0
1.798495708E0,2.708954573E0,1.034866452E0,-2.940393686E-1,2.914762872E0
1.808569708E0,2.686294079E0,1.113742113E0,-2.024447173E-1,2.915061103E0
1.818643708E0,2.567682266E0,1.053163528E0,-1.349030882E-1,2.778550788E0
1.828717708E0,2.298941851E0,8.870863914E-1,-8.917314559E-2,2.465767172E0
1.838791708E0,1.877410650E0,6.314623356E-1,-8.630219102E-2,1.982640537E0
1.848865708E0,1.332226992E0,3.697136045E-1,-1.277095526E-1,1.388461968E0
1.858939708E0,6.358368993E-1,4.500398412E-2,-1.897075325E-1,6.650585455E-1
1.869013708E0,-2.467567623E-1,-3.334764838E-1,-2.678119242E-1,4.937800034E-1
1.879087708E0,-1.277136445E0,-6.446709633E-1,-2.457127571E-1,1.451569120E0
1.889161708E0,-2.199717522E0,-8.690300584E-1,-1.906915903E-1,2.372832421E0
1.899235708E0,-2.930064201E0,-8.696737289E-1,-6.380978972E-2,3.057070544E0
1.909309708E0,-3.431128263E0,-6.674085259E-1,1.070562229E-1,3.497075397E0
1.919383708E0,-3.823785305E0,-2.246986032E-1,2.477150261E-1,3.838383287E0
1.929457708E0,-4.070860863E0,-1.856167614E-2,3.149891198E-1,4.083071252E0
1.939531708E0,-4.100048065E0,-1.095525324E-1,2.435934991E-1,4.108738698E0
1.949605708E0,-3.801856995E0,-2.719957829E-1,1.601252258E-1,3.814936225E0
1.959679708E0,-3.335597754E0,-2.962463796E-1,1.729946584E-1,3.353192724E0
1.969753708E0,-3.006175518E0,-1.277218312E-1,3.071761429E-1,3.024526623E0
1.979827708E0,-3.029623747E0,1.446688324E-1,5.316321254E-1,3.079315157E0
1.989901708E0,-3.350037813E0,5.067098737E-1,5.812966228E-1,3.437646580E0
1.999975708E0,-3.725594521E0,8.750466704E-1,4.669855535E-1,3.855364667E0
2.010049708E0,-3.989828110E0,1.193602324E0,3.313904405E-1,4.177706844E0
2.020123708E0,-4.145464420E0,1.319769502E0,2.187794894E-1,4.355976499E0
2.030197708E0,-4.183245182E0,1.449158907E0,-2.354979143E-2,4.427206386E0
2.040271958E0,-3.931262493E0,1.313884258E0,-2.962795794E-1,4.155586387E0
2.050345958E0,-3.400142908E0,7.655106783E-1,-5.168569684E-1,3.523367639E0
2.060419958E0,-2.726936817E0,-6.332359463E-2,-6.496764421E-1,2.803974636E0
2.070493958E0,-2.041280746E0,-9.162470102E-1,-6.013395190E-1,2.316882579E0
2.080567958E0,-1.639240861E0,-1.282978058E0,-4.283489287E-1,2.125235540E0
2.090641958E0,-1.746257544E0,1.447936520E-2,-5.544192344E-2,1.747197432E0
2.100715958E0,-1.453224301E0,8.765417933E-1,4.789745510E-1,1.763406648E0
2.110789958E0,-5.263105631E-1,5.144736171E-1,9.759228230E-1,1.222338442E0
2.120863958E0,3.220049143E-1,5.957990289E-1,1.078178287E0,1.273236846E0
2.130937958E0,9.096700549E-1,7.352546453E-1,1.153930068E0,1.643062264E0
2.141011958E0,1.276210904E0,1.116701484E0,1.211354494E0,2.084014440E0
2.151085958E0,1.446900010E0,1.631807446E0,1.245523691E0,2.511502428E0
2.161159958E0,1.515528083E0,2.187672138E0,1.187359929E0,2.914199436E0
2.171233958E0,1.591318965E0,2.799534798E0,9.962034822E-1,3.370773281E0
2.181307958E0,1.809407592E0,3.372311831E0,7.334595919E-1,3.896717322E0
2.191381958E0,2.187397480E0,3.925880671E0,4.882852137E-1,4.520582841E0
2.201455958E0,2.655733109E0,4.355642796E0,3.940213919E-1,5.116619525E0
2.211529958E0,3.084517002E0,4.537379265E0,5.466772318E-1,5.513702180E0
2.221603958E0,3.191683769E0,4.546752930E0,7.597004175E-1,5.606866523E0
2.231677958E0,3.033607483E0,4.539635658E0,9.139549732E-1,5.535917265E0
2.241751958E0,2.878015518E0,4.518356800E0,1.043764591E0,5.457835287E0
2.251825958E0,2.623405933E0,4.083908558E0,1.357198358E0,5.040094759E0
2.261899958E0,2.214868784E0,3.383151293E0,1.595028758E0,4.346892354E0
2.271973958E0,1.850338697E0,2.919720173E0,1.567331910E0,3.795398332E0
2.282047958E0,1.571937680E0,2.546415091E0,1.413134575E0,3.309405870E0
2.292121958E0,1.339474320E0,2.126900196E0,1.246988535E0,2.805864627E0
2.302195958E0,1.123655677E0,1.695510626E0,1.106932759E0,2.315741457E0
2.312269958E0,9.749151468E-1,1.370769620E0,9.565846920E-1,1.935077044E0
2.322343958E0,8.338146210E-1,1.039038062E0,8.196859360E-1,1.564203296E0
2.332417958E0,7.025029063E-1,5.772610903E-1,6.908986568E-1,1.141963946E0
2.342491958E0,6.033802629E-1,-3.586594388E-2,4.958328903E-1,7.817956016E-1
2.352565958E0,5.277773738E-1,-9.001802206E-1,2.224516869E-1,1.066938676E0
2.362639958E0,4.036649168E-1,-1.807912469E0,-1.104668826E-1,1.855719751E0
2.372713958E0,2.259407043E-1,-2.707360268E0,-4.893507957E-1,2.760491446E0
2.382787958E0,-3.791028261E-2,-3.618571043E0,-8.976885676E-1,3.728449858E0
2.392861958E0,-3.632106185E-1,-4.341139317E0,-1.331116915E0,4.555138281E0
2.402935958E0,-6.974270940E-1,-4.720953941E0,-1.679557085E0,5.059122717E0
2.413009958E0,-9.237166643E-1,-4.787227154E0,-1.863052368E0,5.219363987E0
2.423083958E0,-9.452778697E-1,-4.606209755E0,-1.888916016E0,5.067417712E0
2.433157958E0,-8.049860001E-1,-4.266652107E0,-1.783479333E0,4.693945163E0
2.443231958E0,-5.733119249E-1,-4.023833275E0,-1.546382785E0,4.348703313E0
2.453305958E0,-2.644190490E-1,-3.884970903E0,-1.220244884E0,4.080675671E0
2.463379958E0,8.699062467E-2,-3.670111179E0,-9.086895585E-1,3.781930744E0
2.473453958E0,4.175139368E-1,-3.277697086E0,-6.778180003E-1,3.372988781E0
2.483527958E0,6.963761449E-1,-2.819257736E0,-5.343297720E-1,2.952738089E0
2.493601958E0,8.691055775E-1,-2.300597668E0,-4.484916329E-1,2.499847771E0
2.503675958E0,9.421722293E-1,-1.723953962E0,-3.538364470E-1,1.996222935E0
2.513749958E0,9.675803781E-1,-1.210323572E0,-2.599190176E-1,1.571194715E0
2.523823958E0,9.134586453E-1,-7.901607752E-1,-1.706055105E-1,1.219781533E0
2.533897958E0,8.272632957E-1,-5.298447609E-1,-7.204778492E-2,9.850334585E-1
2.543971958E0,7.359265089E-1,-3.324871659E-1,-1.827382296E-2,8.077558261E-1
2.554045958E0,6.347623467E-1,-1.598796993E-1,1.477041095E-2,6.547540914E-1
2.564119958E0,5.737780333E-1,-1.511574686E-1,5.040582642E-2,5.954918632E-1
2.574193958E0,4.660057724E-1,-4.029763937E-1,7.725555450E-2,6.209023872E-1
2.584267958E0,2.613579631E-1,-6.293464899E-1,1.146225184E-1,6.910306151E-1
2.594341958E0,9.680201858E-2,-8.091974854E-1,9.808935225E-2,8.208487816E-1
2.604415958E0,1.228693500E-2,-9.208936691E-1,3.625750542E-2,9.216890611E-1
2.614489958E0,2.548554214E-3,-9.192216992E-1,-1.014701184E-2,9.192812352E-1
2.624563958E0,5.570811778E-2,-7.884032726E-1,-1.221357938E-2,7.904633364E-1
2.634637958E0,1.622159183E-1,-4.762704074E-1,1.711022109E-2,5.034285101E-1
2.644710958E0,3.348443210E-1,-2.338971198E-1,5.403973907E-2,4.120059166E-1
2.654785958E0,4.894895554E-1,2.546314383E-3,7.238785923E-2,4.948196749E-1
2.664859958E0,5.860279799E-1,2.412590981E-1,7.188709080E-2,6.378107081E-1
2.674933958E0,6.408973336E-1,4.146457911E-1,9.566299617E-2,7.693061375E-1
2.685007958E0,6.634013057E-1,5.837641954E-1,8.605534583E-2,8.878555349E-1
2.695081958E0,5.482414365E-1,4.971454144E-1,5.284226686E-2,7.419666710E-1
2.705155958E0,2.850751877E-1,2.333585322E-1,1.655321941E-2,3.687791700E-1
